Datetime,Close,High,Low,Open,Volume
2026-04-07 05:20:00+00:00,4998.0,5013.0,4996.0,5011.5,5679
2026-04-07 05:25:00+00:00,4992.5,5004.5,4990.0,4998.5,5147
2026-04-07 05:30:00+00:00,4990.0,4995.0,4985.0,4993.5,3568
2026-04-07 05:35:00+00:00,4995.0,4998.0,4990.0,4990.0,1597
2026-04-07 05:40:00+00:00,4990.5,4997.0,4990.5,4995.0,1320
2026-04-07 05:45:00+00:00,4996.0,4998.5,4990.5,4991.0,2743
2026-04-07 05:50:00+00:00,5001.5,5005.5,4996.0,4996.0,2548
2026-04-07 05:55:00+00:00,5008.0,5014.5,5001.0,5001.0,6301
2026-04-07 06:00:00+00:00,5004.0,5010.0,5002.5,5005.0,1957
2026-04-07 06:05:00+00:00,5004.5,5008.5,5001.0,5003.0,2860
2026-04-07 06:10:00+00:00,5000.5,5003.5,4995.0,5002.5,3394
2026-04-07 06:15:00+00:00,5002.0,5006.0,4999.5,5000.5,1809
2026-04-07 06:20:00+00:00,5007.5,5007.5,5000.5,5002.0,1335
2026-04-07 06:25:00+00:00,5021.0,5022.5,5006.5,5006.5,4201
2026-04-07 06:30:00+00:00,5009.0,5021.0,5006.0,5021.0,4962
2026-04-07 06:35:00+00:00,5008.0,5010.5,5002.0,5008.0,2185
2026-04-07 06:40:00+00:00,5011.0,5014.0,5000.0,5007.0,3516
2026-04-07 06:45:00+00:00,5010.5,5012.5,5007.5,5010.0,2939
2026-04-07 06:50:00+00:00,5001.5,5010.5,5001.0,5009.5,2026
2026-04-07 06:55:00+00:00,5005.5,5008.0,5001.0,5001.5,2215
2026-04-07 07:00:00+00:00,5009.0,5011.0,5004.0,5005.5,1582
2026-04-07 07:05:00+00:00,5012.0,5012.0,5004.0,5008.5,2053
2026-04-07 07:10:00+00:00,5010.5,5012.0,5008.0,5012.0,1600
2026-04-07 07:15:00+00:00,5008.5,5011.0,5006.0,5009.5,1358
2026-04-07 07:20:00+00:00,5006.0,5008.5,5002.5,5008.0,1686
2026-04-07 07:25:00+00:00,4995.5,5006.5,4995.5,5006.0,2752
2026-04-07 07:30:00+00:00,5006.5,5006.5,4996.0,4996.0,1917
2026-04-07 07:35:00+00:00,5002.5,5006.0,5001.5,5005.0,1760
2026-04-07 07:40:00+00:00,5001.0,5014.5,5000.5,5002.5,4309
2026-04-07 07:45:00+00:00,5007.5,5009.0,4999.5,5001.5,2360
2026-04-07 07:50:00+00:00,4999.5,5006.0,4997.5,5006.0,2288
2026-04-07 07:55:00+00:00,5001.0,5002.0,4997.5,4998.5,1740
2026-04-07 08:00:00+00:00,5014.0,5017.0,5001.0,5001.0,6136
2026-04-07 08:05:00+00:00,5021.0,5025.0,5014.5,5014.5,4917
2026-04-07 08:10:00+00:00,5031.0,5034.5,5018.0,5020.0,8951
2026-04-07 08:15:00+00:00,5026.5,5031.0,5022.5,5030.0,5344
2026-04-07 08:20:00+00:00,5030.0,5032.0,5014.5,5026.0,8141
2026-04-07 08:25:00+00:00,5021.0,5032.0,5015.0,5030.5,4287
2026-04-07 08:30:00+00:00,5028.5,5029.5,5018.0,5022.0,2392
2026-04-07 08:35:00+00:00,5021.0,5029.0,5018.5,5028.5,1646
